name_trans|viewData.symbol|exchange_trans|sector_trans|industry_trans|last|pair_change_percent|eq_market_cap|turnover_volume|eq_pe_ratio|MACD|eq_revenue|avg_volume|eq_eps|eq_beta|eq_dividend|eq_yield|tech_sum_900|tech_sum_3600|tech_sum_86400|tech_sum_week|tech_sum_month|daily|week|month|ytd|year|3year|eq_one_year_return|yield_us|peexclxor_us|ttmpr2rev_us|aprfcfps_us|ttmprfcfps_us|price2bk_us|pr2tanbk_us|epschngyr_us|ttmepschg_us|epstrendgr_us|revchngyr_us|ttmrevchg_us|revtrendgr_us|csptrendgr_us|ttmastturn_us|ttminvturn_us|ttmrevpere_us|ttmniperem_us|ttmrecturn_us|a52_week_high|a52_week_low|a52_week_high_diff|a52_week_low_diff|month_change|ttmgrosmgn_us|grosmgn5yr_us|ttmopmgn_us|opmgn5yr_us|ttmptmgn_us|ptmgn5yr_us|ttmnpmgn_us|margin5yr_us|qquickrati_us|qcurratio_us|qltd2eq_us|qtotd2eq_us|yld5yavg_us|divgrpct_us|ttmpayrat_us|ADX|ATR|BullBear|CCI|HL|ROC|RSI|STOCH|STOCHRSI|UO|WilliamsR
Absa Bank|ABSPp|Johannesburg|Financial|Banking Services|84001|0.42%|376.58B|478.00|33.10|-598.96|51.59B|1.53K|25.38|0.53|5.38K|-|Neutral|Neutral|Sell|Strong Sell|Neutral|0.42|-0.12|-4.54|-2.89|-7.28|19.49|-7.16|6.08%|31.22|0.05|-|3.31|2.70|0.03|15.55|41.49|-5.60|8.41|11.93|8.16|19.61|-|-|-|-|-|99057|80501|-15.20|4.35|-0.06%|-|-|21.21|25.20|21.21|25.20|15.61|18.38|-|-|205.03|205.03|1.47|-13.83|23.15|19.97|1.66K|-365.88|-48.16|0.00|0.00|46.23|96.53|57.65|36.94|-6.32
Standard Bank 6.5%|SBKPp|Johannesburg|Financial||71|0%|289.59B|0.00|8.52|-7.97|144.98B|463.00|21.11|0.75|6.50|-|Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|0.00|0.00|-13.41|-11.25|-8.97|2.90|-8.97|-|10.25|2.29|-1.51|-3.17|1.36|1.52|34.01|43.76|2.38|11.86|10.47|1.97|-3.81|-|0.00|2.66|659.73|-|82|71|-13.41|0.00|-13.41%|-|0.00|30.82|31.16|32.76|30.17|23.06|22.88|0.23|-|13.20|56.00|4.95|-35.87|61.98|100.00|1.57|-15.53|-187.02|-7.21|-5.33|36.55|62.12|0.00|25.18|-100.00
Standard Bank|SBPPp|Johannesburg|Financial|Banking Services|9200|0.88%|289.59B|17.09K|8.52|26.59|144.98B|21.41K|21.11|0.75|662.25|-|Neutral|Neutral|Buy|Strong Buy|Strong Buy|0.88|0.88|0.07|2.22|-7.07|14.29|-2.41|-|8.32|2.05|4.54|4.81|1.24|1.52|35.16|35.04|5.21|22.96|17.64|4.21|1.25|-|-|-|-|-|9901|8320|-7.08|10.58|-0.38%|-|0.00|33.92|31.07|35.48|30.23|24.60|20.31|0.24|-|13.29|48.88|4.98|5.24|60.60|30.14|162.79|299.80|129.83|0.00|0.00|53.02|13.66|29.15|26.11|-84.58
Standard Bank|SBKJ|Johannesburg|Financial|Banking Services|17568|-2.3%|289.59B|3.71M|8.52|122.44|94.19B|3.18M|21.11|0.75|1.21K|-|Neutral|Sell|Sell|Neutral|Buy|-2.30|-4.06|-1.03|4.70|9.57|31.98|10.30|6.86%|8.32|2.05|4.54|4.81|1.24|1.32|35.16|35.04|5.21|22.96|17.64|4.21|1.25|-|-|-|-|-|18852|14071|-6.81|24.85|5.97%|-|0.00|33.92|31.07|35.48|30.23|24.60|20.31|0.24|-|13.29|48.88|4.98|71.00|60.60|11.78|571.29|-1.09K|-153.41|-377.50|0.28|44.01|91.94|0.00|48.37|-14.50
Steinhoff International|SHFFp|Johannesburg|Consumer Cyclicals|Specialty Retailers|7425|0%|286.04B|0.00|14.26|46.61|-|11.96K|5.26|0.95|609.14|-|Strong Sell|Strong Sell|Sell|Sell|Strong Sell|0.00|-6.13|-4.91|6.07|-12.11|68.71|-1.13|7.8%|-|-|-|-|-|-|0.00|0.00|-|0.00|0.00|-|-|-|-|-|-|-|8499|6890|-12.64|7.76|5.4%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|43.05|77.21|-622.95|-232.34|-352.86|-5.41|28.84|59.79|2.76|52.90|-97.19
Anglo American Platinum|AMSJ|Johannesburg|Basic Materials|Metals & Mining|99989|1.3%|263.27B|293.52K|5.34|-7.95K|164.09B|313.15K|186.67|0.87|11.50K|-|Strong Buy|Strong Buy|Strong Sell|Strong Sell|Strong Sell|1.30|-1.96|-18.31|-29.83|-51.20|39.09|-52.88|10.77%|5.36|1.60|5.80|9.25|2.72|2.89|-31.06|-37.82|90.63|-26.65|-23.53|20.10|21.06|0.92|2.16|8.81|3.24|54.33|210306|95448|-52.46|4.76|-20.84%|43.03|32.60|41.65|31.46|40.69|31.33|29.95|22.91|0.56|1.55|0.03|0.47|5.48|-47.86|48.55|61.97|4.84K|-10.92K|-97.47|-125.71|-10.60|32.10|90.52|100.00|49.19|-12.18
MTN|MTNJ|Johannesburg|Technology|Telecommunications Services|14134|-1.43%|255.22B|5.19M|13.35|100.47|97.75B|3.66M|10.60|0.71|300.00|-|Strong Buy|Sell|Neutral|Strong Buy|Buy|-1.43|-1.57|-1.04|11.03|-30.31|159.86|-29.37|2.1%|13.35|1.32|4.57|7.00|2.31|3.96|200.08|151.69|0.00|12.78|5.87|4.19|-3.97|0.53|0.00|9.43|543.35|5.75|20840|11262|-32.18|25.50|-1.4%|67.27|62.50|30.41|23.86|19.28|12.61|9.92|7.62|0.58|0.92|55.60|129.57|5.54|-100.00|28.37|22.30|342.21|-511.28|-182.86|-67.14|-1.71|45.69|90.12|0.00|49.70|-15.14
Vodacom|VODJ|Johannesburg|Technology|Telecommunications Services|12702|-0.01%|245.82B|961.18K|13.09|75.04|106.59B|1.39M|9.66|0.18|770.00|-|Strong Buy|Buy|Sell|Buy|Strong Sell|-0.01|-0.97|3.67|3.52|-18.37|21.97|-19.09|6.02%|15.03|2.31|8.26|15.32|2.72|3.38|-9.37|1.71|2.07|7.74|6.26|4.80|3.44|0.58|26.57|12.74|2.12|4.13|16348|11562|-22.30|9.86|3.86%|54.62|56.08|23.05|25.70|21.79|24.84|15.35|17.75|0.68|0.88|39.45|64.06|7.18|1.22|88.81|22.50|256.79|-284.48|-151.84|0.00|-0.51|52.28|87.47|0.00|60.44|-15.53
South32|S32J|Johannesburg|Basic Materials|Metals & Mining|5265|-3.62%|237.80B|422.06K|5.69|3.28|4.54B|527.21K|0.50|1.03|383.37|-|Buy|Strong Sell|Strong Sell|Buy|Strong Buy|-3.62|-10.15|-7.26|13.49|-3.27|218.51|-2.62|6.54%|-|1.19|17.43|8.02|0.87|0.88|19.72|26.54|19.88|9.07|8.90|-8.99|-16.79|0.53|3.79|817.97|148.08|9.84|5893|3872|-10.66|35.98|-1.83%|58.07|52.35|24.84|6.73|23.98|4.90|18.10|0.09|1.56|2.19|5.57|8.19|-|-|46.35|30.40|190.93|-468.22|-156.69|-212.79|-7.26|39.82|51.99|0.00|42.01|-92.76
Capitec|CPIJ|Johannesburg|Financial|Banking Services|168873|-3.56%|196.06B|227.78K|1.15|-2.52K|17.65B|206.72K|80.20|0.73|5.34K|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Sell|-3.56|-2.53|-3.07|-9.14|-17.93|37.84|-16.63|3.01%|21.14|8.08|324.68|-23.82|5.49|5.94|19.15|19.70|17.59|8.30|15.98|16.95|-0.98|-|0.00|1.59|606.54|-|237591|152500|-28.92|10.74|-2.08%|-|0.00|49.27|47.27|48.59|46.12|38.24|35.34|0.22|-|5.09|11.82|1.32|0.00|64.28|16.75|5.04K|-7.63K|-184.77|-5.19K|-5.81|33.68|95.78|0.00|39.11|-8.57
Capitec Bank Pref|CPIPp|Johannesburg|Financial|Banking Services|9250|-2.12%|196.06B|760.00|21.21|-152.26|17.65B|665.00|80.20|0.73|760.53|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.12|1.65|-9.31|-8.42|-15.91|-7.50|-15.91|7.61%|22.02|8.42|324.68|-24.81|5.72|5.94|19.15|19.70|17.59|8.30|15.98|16.95|-0.98|-|0.00|1.59|606.54|-|11001|9022|-15.92|2.53|-1.57%|-|0.00|49.27|47.27|48.59|46.12|38.24|35.34|0.22|-|5.09|11.82|1.32|-4.00|64.28|64.00|184.71|-906.74|-127.85|-585.50|-8.96|36.50|30.26|47.83|32.45|-86.36
Sasol|SOLJ|Johannesburg|Basic Materials|Chemicals|25294|-2.04%|162.67B|1.76M|2.76|-802.11|307.58B|1.85M|61.55|2.25|2.17K|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.04|-6.95|-15.31|-6.12|-28.53|579.22|-28.35|8.01%|4.21|0.53|5.63|18.72|0.82|0.88|-3.13|302.67|13.32|26.55|33.81|9.85|-17.43|0.75|4.11|10.88|1.43|7.35|43860|24974|-42.33|1.28|-13.71%|45.15|49.70|19.80|13.51|17.92|-4.72|12.54|-3.88|1.30|2.12|53.99|64.56|1.52|0.00|24.14|44.76|977.93|-3.13K|-224.86|-1.12K|-14.26|29.02|89.89|0.00|34.68|-21.16
Sasol Bee|SOLBE1J|Johannesburg|Basic Materials|Chemicals|17000|0%|162.67B|30.00|4.15|217.86|307.58B|299.00|61.55|2.25|2.17K|-|Sell|Sell|Sell|Neutral|Neutral|0.00|-1.16|0.00|3.03|13.33|142.86|9.68|12.76%|4.42|0.55|5.63|19.68|0.86|0.88|-3.13|302.67|13.32|26.55|33.81|9.85|-17.43|0.75|4.11|10.88|1.43|7.35|25000|12000|-32.00|41.67|0%|45.15|49.70|19.80|13.51|17.92|-4.72|12.54|-3.88|1.30|2.12|53.99|64.56|1.48|0.00|24.14|100.00|1.19K|-1.29K|-37.84|0.00|0.00|48.23|55.78|0.00|50.34|-53.33
Kumba Iron Ore|KIOJ|Johannesburg|Basic Materials|Metals & Mining|49169|2.17%|157.79B|479.95K|10.53|-1.06K|38.48B|317.68K|46.64|1.10|4.50K|-|Strong Buy|Strong Buy|Neutral|Neutral|Buy|2.17|-0.51|-6.22|-0.12|-23.20|119.95|-23.28|9.39%|10.63|2.15|5.73|8.28|3.88|3.88|-65.54|-55.01|3.84|-19.29|-27.49|9.80|42.60|0.90|1.36|10.05|3.14|11.97|69917|33991|-29.68|44.65|-9.53%|85.92|65.19|43.72|46.58|36.16|47.51|20.22|34.80|1.40|2.00|0.53|17.29|14.20|-61.67|127.39|31.65|2.32K|-2.84K|-65.33|0.00|-10.13|45.44|91.15|47.90|57.92|-13.36
Gold Fields|GFIJ|Johannesburg|Basic Materials|Metals & Mining|17520|3.36%|156.55B|2.61M|11.78|-572.95|35.41B|2.15M|0.80|0.60|745.00|-|Strong Buy|Strong Buy|Neutral|Sell|Buy|3.36|1.48|-7.18|-0.54|-29.45|96.24|-31.13|4.4%|11.15|1.85|4.71|12.90|1.88|1.88|-50.11|-10.29|0.00|-7.24|2.18|9.19|5.11|0.58|5.97|673.59|113.40|-|25278|12662|-30.69|38.37|-15.47%|56.29|33.92|33.30|27.25|27.15|15.41|16.59|8.61|0.98|2.29|25.65|35.02|2.26|40.57|42.81|26.28|667.29|-395.85|16.65|134.14|-4.78|45.35|90.51|100.00|62.33|-12.10
