name_trans|viewData.symbol|exchange_trans|sector_trans|industry_trans|last|pair_change_percent|eq_market_cap|turnover_volume|eq_pe_ratio|MACD|eq_revenue|avg_volume|eq_eps|eq_beta|eq_dividend|eq_yield|tech_sum_900|tech_sum_3600|tech_sum_86400|tech_sum_week|tech_sum_month|daily|week|month|ytd|year|3year|eq_one_year_return|yield_us|peexclxor_us|ttmpr2rev_us|aprfcfps_us|ttmprfcfps_us|price2bk_us|pr2tanbk_us|epschngyr_us|ttmepschg_us|epstrendgr_us|revchngyr_us|ttmrevchg_us|revtrendgr_us|csptrendgr_us|ttmastturn_us|ttminvturn_us|ttmrevpere_us|ttmniperem_us|ttmrecturn_us|a52_week_high|a52_week_low|a52_week_high_diff|a52_week_low_diff|month_change|ttmgrosmgn_us|grosmgn5yr_us|ttmopmgn_us|opmgn5yr_us|ttmptmgn_us|ptmgn5yr_us|ttmnpmgn_us|margin5yr_us|qquickrati_us|qcurratio_us|qltd2eq_us|qtotd2eq_us|yld5yavg_us|divgrpct_us|ttmpayrat_us|ADX|ATR|BullBear|CCI|HL|ROC|RSI|STOCH|STOCHRSI|UO|WilliamsR
ABSA|ABGJ|Johannesburg|Financial|Banking Services|18762|-2.98%|155.76B|3.14M|7.78|-149.83|69.26B|2.29M|24.19|0.95|1.13K|-|Neutral|Strong Sell|Strong Sell|Neutral|Strong Buy|-2.98|-5.53|-1.15|-3.24|8.38|56.85|12.68|5.66%|8.10|1.97|56.20|9.96|1.25|1.38|28.40|47.80|3.94|14.38|15.07|4.04|-18.56|-|0.00|2.34|623.30|-|21100|15002|-11.08|25.06|-0.2%|-|0.00|37.33|29.47|36.79|29.04|24.29|20.91|0.17|-|153.77|159.21|7.24|-72.44|31.44|20.05|554.79|-1.21K|-208.58|-644.57|-3.65|37.25|90.58|0.00|43.13|-15.93
Impala Platinum|IMPJ|Johannesburg|Basic Materials|Metals & Mining|17118|1.04%|146.78B|2.67M|4.52|-851.34|147.23B|2.57M|38.03|1.45|1.47K|-|Buy|Strong Buy|Sell|Strong Sell|Sell|1.04|0.69|-10.29|-19.69|-29.23|77.83|-32.62|8.86%|4.51|1.21|4.22|6.76|1.20|0.00|-2.63|-14.59|0.00|3.91|-5.17|26.29|21.18|0.79|3.61|3.39|1.25|21.26|25425|14680|-32.67|16.61|-14.82%|33.64|26.16|0.00|25.33|0.00|19.80|0.00|13.02|0.00|3.49|0.00|0.00|3.59|23.21|41.83|48.27|675.64|-706.82|-10.80|0.00|-4.97|39.41|90.57|100.00|58.61|-10.47
Mondi|MNPJ|Johannesburg|Basic Materials|Containers & Packaging|29330|-2.65%|142.70B|899.22K|5.05|-439.20|-|636.34K|2.99|0.77|1.31K|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-2.65|-4.87|-7.51|0.79|4.92|6.47|4.17|4.18%|6.52|1.16|43.76|39.18|2.49|3.53|48.25|23.35|16.40|6.83|5.43|2.93|11.01|0.97|4.43|261.94|30.32|6.52|33969|26245|-13.66|11.75|-3.69%|45.73|43.35|15.93|13.69|14.77|12.32|11.58|9.88|0.76|1.35|57.45|65.14|4.10|21.97|44.42|32.44|954.43|-2.37K|-202.93|-1.28K|-8.91|29.27|90.34|0.00|34.16|-16.57
AngloGold Ashanti|ANGJ|Johannesburg|Basic Materials|Metals & Mining|32083|2.75%|136.66B|1.92M|25.25|-910.51|4.50B|1.23M|0.71|0.30|815.00|-|Strong Buy|Strong Buy|Neutral|Strong Sell|Strong Buy|2.75|0.26|-9.03|-2.55|-15.01|17.35|-17.52|2.63%|24.68|1.63|3.90|28.53|1.79|1.75|-6.48|-37.71|0.00|9.28|-4.74|5.81|18.04|0.53|4.56|1.81|386.83|12.87|39743|21300|-19.27|50.62|-14.33%|27.85|28.01|18.28|20.81|10.86|20.08|6.60|10.04|2.05|3.02|46.03|52.30|1.20|-56.88|16.85|24.99|1.12K|-338.92|51.93|69.07|-3.82|42.58|94.67|100.00|62.48|-6.82
Bid Corp|BIDJ|Johannesburg|Consumer Non-Cyclicals|Food & Drug Retailing|40450|1.07%|135.09B|893.50K|22.95|998.85|117.50B|876.48K|17.60|0.78|840.00|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Strong Buy|1.07|0.91|6.45|22.63|39.66|64.02|36.95|2.17%|21.94|0.77|19.59|54.71|3.79|7.95|48.15|54.09|3.65|28.09|32.96|5.90|6.48|2.07|9.11|6.70|239.41|9.71|41225|27500|-1.88|47.09|12.19%|24.02|23.93|5.05|4.49|4.42|3.93|3.28|2.64|0.77|1.24|20.07|53.72|1.52|0.00|39.94|23.90|1.26K|-239.39|44.56|205.57|7.58|61.49|97.77|59.72|64.66|-2.48
Sanlam|SLMJ|Johannesburg|||5927|1.51%|121.47B|6.06M|10.64|86.03|93.06B|5.32M|5.55|0.89|360.00|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Neutral|1.51|0.42|4.07|21.65|-10.07|-0.44|-5.80|6.07%|10.73|1.29|7.84|8.15|1.67|1.93|0.00|0.00|0.00|-28.58|-57.08|-4.64|0.00|0.09|0.00|8.47|554.59|-|7320|4686|-19.03|26.48|6.27%|45.10|35.72|18.76|15.10|16.31|11.10|11.99|6.37|0.48|1.69|20.49|22.40|5.53|11.33|75.76|24.99|155.00|-38.44|35.90|0.00|2.40|59.55|53.22|37.36|62.00|-36.61
Shoprite|SHPJ|Johannesburg|Consumer Non-Cyclicals|Food & Drug Retailing|21750|-0.56%|118.07B|1.68M|19.04|-389.56|199.34B|1.32M|11.25|0.14|615.00|-|Buy|Strong Sell|Strong Sell|Strong Sell|Buy|-0.56|-2.39|-5.71|-3.76|-7.14|110.14|-7.25|2.75%|18.90|0.59|0.00|13.30|4.57|0.00|15.54|15.72|0.95|16.77|13.12|5.48|-0.14|2.18|14.39|1.18|33.07|34.21|25491|19342|-14.68|12.45|-7.33%|23.56|23.34|0.00|4.92|0.00|4.24|0.00|2.85|0.00|1.26|0.00|0.00|2.84|40.19|53.84|22.71|566.93|-1.15K|-154.33|-354.86|-5.02|31.82|91.98|2.75|55.11|-12.44
Nedbank|NEDJ|Johannesburg||Banking Services|22570|-0.7%|109.97B|1.27M|7.92|59.18|57.41B|1.43M|29.32|1.11|1.65K|-|Strong Sell|Sell|Sell|Strong Buy|Strong Buy|-0.70|-2.85|-1.11|6.17|1.58|55.66|4.18|7.12%|7.70|1.92|5.83|7.01|1.05|0.00|23.00|26.55|0.00|7.69|10.94|0.00|0.00|-|-|-|-|-|24625|19440|-8.35|16.10|2.4%|-|0.00|0.00|31.08|0.00|30.67|0.00|23.17|0.00|-|0.00|0.00|6.12|-100.00|54.82|10.75|735.14|-1.09K|-160.80|-128.57|-2.32|45.58|92.13|16.55|49.76|-10.21
Sibanye Stillwater|SSWJ|Johannesburg|Basic Materials|Metals & Mining|3782|1.69%|107.04B|15.11M|5.77|-210.16|138.29B|9.14M|6.51|1.29|260.00|-|Strong Buy|Strong Buy|Strong Sell|Strong Sell|Strong Sell|1.69|1.53|-12.53|-15.43|-42.71|59.58|-45.08|6.98%|5.73|0.76|4.22|11.59|1.16|1.28|-21.75|-42.91|0.00|-17.43|-19.69|24.67|21.12|0.87|3.67|1.92|545.22|18.11|6799|3542|-44.37|6.78|-18.17%|31.64|22.25|23.70|16.62|20.18|12.04|13.30|9.59|1.66|3.01|24.84|25.33|3.14|-57.59|51.39|64.40|165.93|-181.84|-40.60|0.00|-8.87|35.54|45.36|100.00|52.34|-62.38
Investec|INPJ|Johannesburg|Financial|Investment Banking & Investment Services|11058|-3.23%|106.48B|643.84K|6.63|11.70|2.06B|1.30M|0.78|1.09|557.00|-|Strong Sell|Strong Sell|Strong Sell|Strong Buy|Strong Buy|-3.23|-2.14|-2.39|2.70|37.08|123.71|40.64|4.89%|6.21|1.81|46.82|6.85|1.02|1.24|3.78|-3.16|10.81|4.96|5.53|3.15|-12.81|-|-|241.90|93.74|-|11907|6817|-7.13|62.21|5.92%|-|-|25.55|23.00|25.55|23.00|22.95|18.97|0.28|-|96.71|107.61|8.85|239.29|32.56|17.75|315.50|-573.97|-180.02|-306.64|-5.95|42.71|70.80|0.00|41.57|-44.50
Investec Non Cum|INPPp|Johannesburg|Financial|Investment Banking & Investment Services|10500|0%|106.48B|0.00|6.45|-44.44|1.13B|791.00|0.24|-|362.28|-|Strong Sell|Strong Sell|Strong Sell|Sell|Strong Buy|0.00|0.00|0.00|-6.25|-0.94|19.32|-0.94|3.45%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|11200|10500|-6.25|0.00|0%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|27.33|100.00|-586.93|-109.51|-400.00|-6.25|40.77|51.43|0.00|17.55|-58.28
Discovery|DSBPp|Johannesburg|Financial|Insurance|9300|0.64%|94.56B|1.08K|18.69|-26.83|88.12B|7.72K|7.70|1.01|738.01|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Neutral|0.64|-4.02|-2.62|-3.12|-2.36|-0.80|0.46|7.72%|17.66|1.40|11.56|28.82|1.81|2.33|-11.20|10.05|3.82|-0.05|-18.39|8.64|2.85|0.24|0.00|5.83|254.55|3.69|9850|9200|-5.58|1.09|1.09%|47.14|39.55|12.59|11.17|9.46|9.12|7.48|7.09|3.14|3.20|23.42|35.71|1.12|-25.25|1.15|29.24|166.21|-392.78|-193.56|-243.50|-3.12|36.72|52.97|10.40|29.87|-84.61
Discovery|DSYJ|Johannesburg|Financial|Insurance|14362|-0.76%|94.56B|1.33M|12.08|172.57|88.12B|1.25M|7.70|1.01|3.56|-|Strong Buy|Neutral|Neutral|Strong Buy|Strong Buy|-0.76|-1.62|1.41|16.43|-10.42|54.95|-8.52|-|17.66|1.40|11.56|28.82|1.81|2.35|-11.20|10.05|3.82|-0.05|-18.39|8.64|2.85|0.24|0.00|5.83|254.55|3.69|18482|10073|-22.29|42.58|8.51%|47.14|39.55|12.59|11.17|9.46|9.12|7.48|7.09|3.14|3.20|23.42|35.71|1.12|-100.00|1.15|14.73|447.57|-452.74|-103.65|0.00|-0.99|49.96|88.19|0.00|55.98|-15.38
Investec|INLJ|Johannesburg|Financial|Investment Banking & Investment Services|10906|-3.23%|92.37B|458.19K|6.63|1.41|2.06B|780.22K|0.78|1.09|557.00|-|Strong Sell|Strong Sell|Strong Sell|Strong Buy|Strong Buy|-3.23|-2.29|-2.74|1.45|31.50|176.52|34.44|4.93%|6.21|2.13|32.69|-1.33|0.88|0.93|102.40|90.87|0.46|19.37|18.51|-2.56|-24.40|-|0.00|241.90|93.74|-|11828|6775|-7.80|60.97|6.14%|-|0.00|44.03|28.37|45.97|28.07|36.22|36.85|0.28|-|63.00|143.24|8.85|239.29|43.56|18.26|338.86|-437.99|-159.33|-296.64|-6.32|42.19|66.26|0.00|47.32|-50.41
Investec Pref|INPRp|Johannesburg|Financial|Investment Banking & Investment Services|9550|0%|92.37B|20.61K|6.63|26.33|2.06B|20.84K|0.78|1.09|611.35|-|Strong Buy|Strong Buy|Buy|Strong Buy|Strong Buy|0.00|0.53|1.06|1.87|6.70|24.03|6.70|-|6.21|2.13|32.69|-1.33|0.88|0.95|102.40|90.87|0.46|19.37|18.51|-2.56|-24.40|-|0.00|241.90|93.74|-|9801|8850|-2.56|7.91|1.05%|-|0.00|44.03|28.37|45.97|28.07|36.22|36.85|0.28|-|63.00|143.24|8.85|-18.72|43.56|33.71|177.57|-182.09|-37.06|0.00|-1.04|52.94|79.97|73.01|68.84|-27.08
Bidvest|BVTJ|Johannesburg|Consumer Non-Cyclicals|Consumer Goods Conglomerates|26508|1.29%|90.10B|1.50M|16.39|839.04|106.94B|881.90K|15.99|0.50|801.00|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Strong Buy|1.29|13.27|10.94|23.64|23.33|52.71|24.45|2.97%|15.88|0.81|9.96|15.61|2.84|124.31|18.10|31.90|0.85|13.37|13.15|7.08|-5.70|1.10|6.51|727.81|33.94|6.64|27230|19284|-2.65|37.46|4.34%|29.98|29.93|9.22|7.99|7.79|6.25|5.08|4.30|0.65|1.20|76.04|106.39|3.27|156.55|49.29|20.57|889.86|1.74K|104.97|1.50K|11.34|68.02|92.88|73.85|69.13|-4.19
Aspen Pharmacare|APNJ|Johannesburg|Healthcare|Pharmaceuticals|18694|4.98%|83.18B|3.07M|14.08|816.25|38.38B|1.08M|12.98|0.63|326.00|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Strong Buy|4.98|8.37|26.85|37.12|9.64|88.18|7.48|2.24%|11.57|1.94|14.95|22.01|1.06|5.66|-18.21|5.52|4.97|-1.19|-0.36|-1.30|5.75|0.32|1.39|4.50|756.18|2.93|20351|12889|-8.14|45.04|-6.14%|46.55|49.79|22.85|23.93|21.07|14.23|16.81|14.94|1.11|2.40|0.41|37.78|1.05|0.00|25.16|26.43|821.29|3.01K|146.29|2.42K|25.96|75.26|84.18|98.41|72.03|0.00
Mediclinic Int|MEIJ|Johannesburg|Healthcare|Healthcare Providers & Services|10950|-0.45%|80.78B|303.53K|21.72|98.38|1.73B|281.18K|0.23|-|59.53|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Strong Buy|-0.45|1.71|1.96|7.81|63.63|69.48|63.51|0.57%|21.72|0.86|8.51|11.15|0.74|1.34|-235.94|-984.36|-20.77|-1.28|-0.66|9.29|-5.05|0.43|19.78|90.53|-18.79|4.57|11100|6550|-1.35|67.18|4.16%|38.29|37.98|-19.14|-0.17|-21.70|-2.47|-20.76|-3.42|1.75|1.92|59.01|61.84|1.35|-|46.83|17.59|222.36|-43.29|6.99|0.00|1.14|57.79|82.83|29.64|66.66|-13.62
Remgro|REMJ|Johannesburg|Financial|Investment Holding Companies|13785|-1.29%|77.43B|600.17K|5.95|17.73|57.22B|905.28K|23.28|0.49|150.00|-|Strong Sell|Strong Sell|Strong Sell|Buy|Strong Buy|-1.29|-1.84|0.39|3.62|-3.70|-6.90|-3.45|1.09%|6.00|1.04|10.11|17.40|0.80|1.01|257.41|270.48|8.85|18.95|15.64|22.49|19.25|0.51|3.65|380.36|19.87|7.42|15485|12455|-10.98|10.68|-0.16%|37.21|38.95|6.71|4.93|21.79|9.63|17.27|16.28|1.41|2.32|11.93|15.88|3.16|87.50|5.49|16.38|369.79|-159.65|-97.72|-43.36|-0.14|44.87|89.90|0.00|45.67|-15.55
NEPI Rockcastle|NRPJ|Johannesburg|Real Estate|Real Estate Operations|11226|-0.65%|73.57B|1.18M|13.28|128.29|10.88B|1.11M|0.72|0.96|971.61|-|Sell|Neutral|Strong Buy|Strong Buy|Strong Buy|-0.65|1.93|2.59|8.92|19.40|11.79|24.18|8.62%|8.04|5.59|11.71|0.00|0.90|0.89|133.80|85.55|0.00|9.38|16.06|12.11|0.00|0.09|14.52|18.72|5.63|5.10|11510|7829|-2.47|43.39|1.96%|64.91|67.65|60.05|63.44|80.24|20.61|69.61|14.55|1.69|1.94|65.63|67.67|2.32|0.00|55.43|29.19|283.64|344.37|114.34|46.00|3.94|61.13|80.37|61.67|47.02|-18.80
Reinet Invest|RNIJ|Johannesburg|Financial|Banking Services|36933|-0.28%|66.65B|162.03K|4.50|1.06K|5.95B|217.15K|4.13|0.56|476.56|-|Strong Sell|Sell|Strong Buy|Strong Buy|Strong Buy|-0.28|-1.48|11.01|12.82|24.65|29.89|26.21|1.41%|-|18.20|35.13|34.29|0.59|0.59|56.12|-552.50|43.90|56.76|-304.91|40.30|-|-0.09|-|-|-|-|38536|24645|-4.16|49.86|10.16%|69.03|87.99|54.84|82.05|59.35|69.66|72.90|68.17|-|20.00|-|-|-|-|32.10|55.13|1.03K|651.63|36.98|0.00|8.27|64.09|96.43|0.00|56.57|-5.62
Pepkor|PPHJ|Johannesburg|Consumer Cyclicals|Diversified Retail|1800|-1.26%|65.96B|6.83M|10.89|-45.09|81.40B|8.53M|1.65|0.52|55.17|-|Buy|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-1.26|-2.12|-5.36|-10.00|-13.79|29.03|-11.11|2.98%|11.32|0.85|9.75|14.37|1.10|15.20|22.61|24.67|4.53|7.42|5.26|7.07|5.45|0.75|3.47|1.65|103.74|10.01|2408|1776|-25.25|1.35|-8.76%|35.22|34.99|11.26|10.39|10.17|6.45|7.51|3.49|0.56|1.43|16.49|42.63|0.75|0.00|26.73|35.72|44.50|-131.72|-197.18|-46.50|-7.64|30.13|42.63|26.03|37.60|-86.59
Clicks|CLSJ|Johannesburg|Consumer Non-Cyclicals|Food & Drug Retailing|26620|-0.92%|64.94B|378.01K|24.61|-117.98|29.57B|628.61K|10.80|0.04|637.00|-|Strong Buy|Neutral|Strong Sell|Strong Sell|Sell|-0.92|-0.85|0.43|-1.44|-8.98|15.74|-11.16|2.35%|24.61|1.64|20.27|27.44|11.40|13.51|52.56|45.21|14.86|3.28|6.02|8.11|10.09|2.26|5.37|2.40|160.00|24.10|32943|25757|-19.19|3.35|0.8%|21.30|20.97|8.33|7.73|9.19|7.47|6.67|5.36|0.37|1.15|41.12|54.40|2.16|7.51|48.77|16.94|660.57|-826.92|-136.17|-40.43|-2.10|43.45|95.04|24.84|51.50|-7.51
Woolworths|WHLJ|Johannesburg|Consumer Cyclicals|Diversified Retail|6865|-1.17%|63.57B|2.81M|17.79|-132.58|59.64B|3.54M|3.87|0.46|307.50|-|Strong Sell|Strong Sell|Strong Sell|Neutral|Strong Buy|-1.17|-4.15|-9.35|3.34|26.68|117.25|25.30|4.13%|17.11|0.79|7.83|10.15|5.40|16.95|50.07|-10.96|-7.32|4.34|1.66|3.57|-6.23|1.43|5.91|2.01|93.45|47.99|8047|5060|-14.69|35.67|2.11%|36.53|37.37|8.39|7.80|6.48|1.86|4.64|0.98|0.49|1.12|40.87|270.81|3.88|0.00|38.14|49.33|219.07|-781.75|-116.74|-502.50|-12.87|29.18|18.13|0.00|38.10|-98.01
MultiChoice|MCGJ|Johannesburg|Consumer Cyclicals|Media & Publishing|14138|-1.37%|60.39B|1.08M|-198.85|522.20|42.84B|997.40K|-0.60|0.39|565.00|-|Neutral|Strong Sell|Strong Buy|Strong Buy|Strong Buy|-1.37|-2.15|9.90|20.59|12.38|75.13|10.45|4.5%|-233.99|1.06|6.07|9.38|4.90|8.01|-119.04|-124.12|0.00|6.64|5.30|2.98|-11.50|1.16|30.25|7.92|95.64|8.90|15520|10925|-8.90|29.41|17.7%|45.96|44.79|18.68|17.04|8.59|11.30|-0.45|3.50|0.42|0.82|16.82|174.36|3.48|-|-937.21|49.39|546.43|167.33|30.88|0.00|9.55|60.70|80.58|0.00|49.48|-25.03
Old Mutual|OMUJ|Johannesburg|Financial|Investment Banking & Investment Services|1205|-1.79%|59.21B|12.96M|5.61|18.37|136.55B|10.16M|2.02|1.11|76.00|-|Buy|Neutral|Buy|Strong Buy|Neutral|-1.79|-1.95|3.26|15.20|-8.16|-16.03|-4.74|6.42%|6.65|0.44|3.98|1.93|0.95|1.08|74.25|152.73|-5.71|-92.59|-40.00|19.08|6.32|0.13|0.00|7.51|134.13|-|1427|921|-15.56|30.84|0.68%|23.96|24.14|6.82|4.92|8.55|4.72|6.64|10.31|0.22|0.53|29.15|29.15|8.12|-50.00|38.28|31.68|39.64|-16.32|11.65|0.00|5.06|54.06|64.74|22.82|55.33|-45.45
Northam Platinum Holdings|NPHJ|Johannesburg|Basic Materials|Metals & Mining|14834.74|1.07%|58.87B|1.30M|6.95|-678.23|13.88B|1.15M|26.15|1.23|-|-|Neutral|Neutral|Strong Sell|Strong Sell|Strong Sell|1.07|-2.33|-7.59|-20.75|-38.87|72.50|-41.09|-|6.14|1.77|5.31|8.92|2.03|1.99|-21.89|-2.50|0.00|-2.70|4.41|37.76|18.72|0.71|3.54|1.78|513.07|40.69|26116|13149|-43.20|12.82|-11.38%|46.43|33.12|43.49|28.53|40.29|17.13|28.90|9.22|0.19|0.71|34.73|52.61|-|0.00|0.00|56.46|749.36|-801.36|-105.08|0.00|-3.54|36.02|84.44|69.26|53.71|-18.82
Capital&Counties|SHCJ|Johannesburg|Real Estate|Residential & Commercial REITs|2692|-4.37%|56.54B|822.70K|-4.95|83.31|24.90M|433.39K|-0.25|1.08|72.43|-|Strong Sell|Strong Sell|Neutral|Strong Buy|Sell|-4.37|1.43|3.14|22.36|-15.29|-23.41|-14.35|2.66%|-|23.13|-|-|0.68|0.68|-110.37|-782.32|-|-6.38|0.12|-2.17|-|0.02|-|785.29|-1.21|16.02|3429|1871|-21.49|43.88|14.23%|80.40|77.76|-142.95|126.07|-148.94|110.70|-154.31|111.75|-|1.24|22.53|22.56|-|-|-7.22|25.70|140.57|40.26|-7.69|-0.79|0.97|50.85|44.64|0.00|52.95|-79.69
OUTsurance|OUTJ|Johannesburg|Financial|Insurance|3571|-1.92%|54.70B|2.22M|2.43|37.46|15.95B|4.65M|14.63|0.68|207.50|-|Strong Buy|Neutral|Buy|Strong Buy|Strong Buy|-1.92|-0.36|3.93|13.22|39.19|62.24|40.44|6.03%|45.18|2.55|94.18|112.63|4.76|5.21|1.15K|673.41|45.57|12.61|12.74|7.63|-27.79|0.51|0.00|530.73|90.58|5.28|3759|2430|-5.00|46.95|-0.75%|47.17|52.17|15.91|22.35|12.74|26.06|104.45|31.04|0.68|0.97|43.16|0.71|3.19|191.11|4.06|19.47|107.71|-64.78|-45.78|0.00|1.53|53.87|63.12|0.00|58.65|-56.06
African Rainbow Minerals|ARIJ|Johannesburg|Basic Materials|Metals & Mining|24566|-0.52%|48.16B|302.96K|3.73|-956.57|18.60B|339.42K|65.92|0.92|3.40K|-|Strong Buy|Buy|Strong Sell|Strong Sell|Neutral|-0.52|-6.54|-11.68|-14.70|-10.41|166.99|-8.88|13.18%|3.73|2.59|3.38|6.14|1.03|1.09|12.57|10.80|54.40|23.75|5.19|15.70|18.33|0.32|18.45|1.59|1.25|2.80|31900|19660|-22.99|24.95|-10.35%|55.05|38.67|48.29|32.27|101.08|73.67|73.45|62.63|5.00|5.38|0.56|0.62|13.21|150.00|48.56|38.49|1.19K|-2.97K|-201.66|-728.21|-8.65|33.05|88.70|11.14|39.78|-15.80
Exxaro|EXXJ|Johannesburg|Energy|Coal|18537|0.24%|45.15B|740.78K|3.57|-522.51|22.33B|760.04K|52.23|0.46|2.77K|-|Neutral|Strong Sell|Strong Sell|Strong Sell|Neutral|0.24|-8.06|-9.28|-14.70|-13.49|78.15|-12.12|13.71%|3.78|1.20|0.00|4.49|1.07|1.14|3.63|17.11|26.24|47.45|33.23|9.42|-2.33|0.50|6.38|4.61|1.90|9.71|23998|17820|-22.76|4.02|-7.64%|71.62|57.99|32.60|16.54|51.27|36.35|31.77|36.75|3.27|3.85|20.21|22.81|18.08|60.15|73.08|47.68|716.64|-2.34K|-240.54|-755.00|-7.69|31.85|86.27|4.52|36.11|-20.95
Growthpoint Properties|GRTJ|Johannesburg|Real Estate|Residential & Commercial REITs|1319|-0.38%|44.95B|7.00M|5.67|-26.08|9.71B|8.62M|2.33|0.79|128.40|-|Strong Buy|Buy|Strong Sell|Strong Sell|Strong Sell|-0.38|-0.60|-5.04|-9.28|5.86|-15.99|3.86|9.18%|5.85|3.56|8.01|8.06|0.65|0.66|427.80|1.62K|-2.74|3.81|-0.59|3.94|30.45|0.08|0.00|21.48|762.68|63.54|1509|1151|-12.59|14.60|-4.14%|73.16|76.25|66.85|71.05|95.21|40.37|60.83|33.80|0.39|0.65|75.02|91.98|8.68|30.36|62.66|28.16|31.36|-56.80|-152.75|-11.36|-4.21|33.01|32.95|34.62|35.00|-76.14
Royal Bafokeng Platinum|RBPJ|Johannesburg|Basic Materials|Metals & Mining|14960|1%|43.43B|140.97K|13.05|-418.04|15.91B|82.53K|11.47|1.29|780.00|-|Strong Buy|Strong Buy|Strong Sell|Strong Sell|Buy|1.00|0.79|-7.65|-9.28|-9.55|398.67|-10.95|5.32%|13.08|2.73|11.11|20.80|1.76|0.00|-30.96|-50.84|0.00|13.05|-3.15|0.00|0.00|0.45|18.90|1.73|712.96|2.36|18209|12900|-17.84|15.97|-6.62%|30.69|25.96|0.00|20.38|0.00|19.44|0.00|14.94|0.00|6.31|0.00|0.00|2.80|35.65|68.33|21.61|845.64|-804.08|-75.58|0.00|-6.79|38.29|78.14|73.99|49.94|-20.90
Ninety One|NY1J|Johannesburg|Financial|Investment Banking & Investment Services|4225|-1.63%|42.98B|528.74K|9.03|19.11|10.31B|436.70K|0.21|0.72|286.00|-|Buy|Strong Sell|Strong Sell|Neutral|Neutral|-1.63|-2.42|-1.68|11.62|-11.78|-|-11.78|6.67%|9.84|2.82|4.42|2.45|5.48|5.52|-15.67|3.65|0.00|-1.40|0.47|6.50|-4.57|0.06|0.00|542.19|155.10|1.78|5200|3484|-18.75|21.27|7.03%|58.20|50.07|36.16|33.47|37.25|34.78|28.61|26.95|0.07|1.03|41.90|32.26|2.48|0.00|70.73|27.65|144.57|-204.18|-101.15|-94.14|-0.87|43.96|17.64|0.00|35.22|-95.37
Distell|DGHJ|Johannesburg|Consumer Non-Cyclicals|Beverages|17973|-0.15%|39.56B|636.95K|16.60|71.88|25.92B|334.66K|10.84|0.47|-|-|Neutral|Strong Buy|Strong Buy|Strong Buy|Strong Buy|-0.15|1.89|3.29|1.86|6.04|112.70|5.72|-|16.16|1.90|11.35|238.47|2.24|2.55|0.48|11.96|12.80|-18.37|-9.18|7.48|13.84|0.63|1.22|6.36|451.01|4.09|18162|16597|-1.04|8.29|0.49%|45.89|40.46|12.29|12.08|13.28|10.65|9.03|7.43|0.92|1.78|13.17|20.81|2.39|0.00|0.00|39.82|232.21|572.12|240.07|240.86|1.77|74.20|95.20|90.88|64.82|-2.31
Ninety One|N91J|Johannesburg|Financial|Investment Banking & Investment Services|4274|-1.61%|39.20B|151.01K|9.26|27.59|10.31B|382.18K|0.21|0.72|286.00|-|Neutral|Strong Sell|Strong Sell|Buy|Neutral|-1.61|-2.58|-1.16|11.13|-10.36|-|-10.88|6.62%|9.58|1.78|1.82|1.91|9.42|6.36|-2.11|11.18|-|7.24|9.25|6.50|-4.57|0.08|-|659.94|126.38|2.77|5450|3458|-21.58|23.60|8.67%|79.64|50.07|24.69|33.47|24.69|34.78|19.15|26.95|0.07|1.03|39.85|43.71|2.48|-|-|21.73|187.50|-111.74|-119.44|-75.71|-1.84|43.30|20.73|0.00|33.38|-96.81
Mr Price|MRPJ|Johannesburg|Consumer Cyclicals|Specialty Retailers|14534|-1.42%|37.38B|645.88K|10.81|-402.43|28.65B|995.80K|13.59|0.78|837.40|-|Strong Sell|Strong Sell|Strong Sell|Strong Sell|Strong Sell|-1.42|-3.95|-9.16|-8.56|-28.22|4.55|-27.30|5.37%|10.68|1.30|13.01|10.00|3.03|3.89|13.72|15.77|7.97|6.40|10.90|7.20|-3.94|1.31|3.89|1.40|171.16|8.44|22698|14280|-35.97|1.78|-7.41%|43.52|44.18|18.04|17.43|16.80|17.11|12.21|12.30|1.31|2.47|0.01|64.42|4.02|254.64|60.45|43.98|468.14|-1.54K|-186.02|-691.29|-11.80|31.77|82.08|0.00|32.37|-30.19
Harmony Gold Mining Company|HARJ|Johannesburg|Basic Materials|Metals & Mining|5767|3.95%|35.64B|1.28M|-56.91|-144.40|43.95B|1.65M|-0.98|0.82|62.00|-|Strong Buy|Strong Buy|Buy|Strong Sell|Buy|3.95|-0.03|-3.87|-1.92|-25.84|17.10|-28.03|1.07%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|7816|3333|-26.22|73.03|-9.38%|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|24.38|234.79|-201.01|8.67|18.79|-1.92|47.38|61.30|100.00|63.53|-34.87
