index,stock_name,pb,ps,median_pb,difference_pb,median_ps,difference_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps
22,Sibanye Stillwater,1.16,0.76,1.20,3.45,1.21,59.21,Gold Fields,1.88,1.85,Impala Platinum,1.2,1.21,Kibo Energy,0.21,10.39,Kap Industrial,0.73,0.29,Bidvest,2.84,0.81,Pepkor,1.1,0.85,MTN,2.31,1.32
23,Discovery,1.81,1.4,1.50,-17.13,1.04,-25.71,Discovery,1.81,1.4,Thungela Resources,1.27,0.69,Remgro,0.8,1.04,Mr Price,3.03,1.3,Foschini Group,1.5,0.63,AECI Pref,0.9,0.34,Clicks,11.4,1.64
24,Discovery,1.81,1.4,1.81,0.00,1.04,-25.71,Discovery,1.81,1.4,Thungela Resources,1.27,0.69,Remgro,0.8,1.04,Mr Price,3.03,1.3,Gold Fields,1.88,1.85,Foschini Group,1.5,0.63,Bid Corp,3.79,0.77
25,Bidvest,2.84,0.81,1.50,-47.18,0.63,-22.22,Foschini Group,1.5,0.63,Telkom,0.51,0.42,Bid Corp,3.79,0.77,MultiChoice,4.9,1.06,Suprgrp,0.77,0.2,Gold Fields,1.88,1.85,RCL Foods,0.9,0.28
26,Aspen Pharmacare,1.06,1.94,0.90,-15.09,1.63,-15.98,SA Corporate Real Estate,0.52,2.71,Fortress Income,0.63,3.57,AngloGold Ashanti,1.79,1.63,Truworths,3.1,1.17,Telkom,0.51,0.42,Exxaro,1.07,1.2,NEPI Rockcastle,0.9,5.59
27,Mediclinic Int,0.74,0.86,3.61,387.84,3.57,315.12,Purple Capital Ltd,3.61,6.36,RENERGEN,4.93,1160.0,Southern Sun,0.82,1.54,Fortress Income,0.63,3.57,Montauk Renewables,10.87,17.36,Alexander Forbes Group Holdings,1.53,1.45,Ninety One,5.48,2.82
28,Remgro,0.8,1.04,1.81,126.25,1.40,34.62,Distell,2.24,1.9,Mr Price,3.03,1.3,AECI Pref,0.9,0.34,Clicks,11.4,1.64,Discovery,1.81,1.4,Discovery,1.81,1.4,Santam,0.0,0.0
29,NEPI Rockcastle,0.9,5.59,2.03,125.56,1.77,-68.34,SA Corporate Real Estate,0.52,2.71,Avi,5.2,1.8,Northam Platinum Holdings,2.03,1.77,Advtech,1.96,1.4,Ninety One,5.48,2.82,Dis-Chem Pharmacies,6.19,0.73,Reunert,1.35,0.86
30,Pepkor,1.1,0.85,1.52,38.18,1.00,17.65,Aspen Pharmacare,1.06,1.94,Discovery,1.81,1.4,Life Healthcare,1.52,1.0,Kap Industrial,0.73,0.29,Gold Fields,1.88,1.85,Foschini Group,1.5,0.63,Bidvest,2.84,0.81
31,Clicks,11.4,1.64,0.90,-92.11,0.34,-79.27,Hulamin,0.33,0.07,AECI Pref,0.9,0.34,Aveng Ltd,0.46,0.06,Distell,2.24,1.9,Mr Price,3.03,1.3,Netcare,2.05,0.97,RCL Foods,0.9,0.28
32,Woolworths,5.4,0.79,2.84,-47.41,0.63,-20.25,SPAR,2.87,0.21,Suprgrp,0.77,0.2,MultiChoice,4.9,1.06,Bidvest,2.84,0.81,Foschini Group,1.5,0.63,Telkom,0.51,0.42,Mr Price,3.03,1.3
33,MultiChoice,4.9,1.06,1.50,-69.39,0.63,-40.57,Suprgrp,0.77,0.2,Dis-Chem Pharmacies,6.19,0.73,Foschini Group,1.5,0.63,Clicks,11.4,1.64,Telkom,0.51,0.42,AECI Pref,0.9,0.34,Avi,5.2,1.8
34,Old Mutual,0.95,0.44,1.52,60.00,1.17,165.91,Truworths,3.1,1.17,Shoprite,4.57,0.59,Aspen Pharmacare,1.06,1.94,Life Healthcare,1.52,1.0,Discovery,1.81,1.4,Pepkor,1.1,0.85,Growthpoint Properties,0.65,3.56
35,Northam Platinum Holdings,2.03,1.77,0.70,-65.52,1.12,-36.72,Reunert,1.35,0.86,PPC,0.7,0.45,NEPI Rockcastle,0.9,5.59,Hulamin,0.33,0.07,SA Corporate Real Estate,0.52,2.71,Curro Hol,0.64,1.12,Avi,5.2,1.8
36,OUTsurance,4.76,2.55,1.86,-60.92,1.85,-27.45,Coronation,5.33,2.92,Reunert,1.35,0.86,Northam Platinum Holdings,2.03,1.77,Gold Fields,1.88,1.85,Pan African Resources,1.86,2.69,PPC,0.7,0.45,NEPI Rockcastle,0.9,5.59
37,African Rainbow Minerals,1.03,2.59,1.76,70.87,1.78,-31.27,Exxaro,1.07,1.2,Astral,1.29,0.32,Royal Bafokeng Platinum,1.76,2.73,Distell,2.24,1.9,Ninety One,5.48,2.82,Cafca,0.1,0.04,Ninety One,9.42,1.78
38,Exxaro,1.07,1.2,1.35,26.17,1.30,8.33,African Rainbow Minerals,1.03,2.59,Astral,1.29,0.32,Reunert,1.35,0.86,Mr Price,3.03,1.3,Avi,5.2,1.8,NEPI Rockcastle,0.9,5.59,Tiger Brands,2.26,1.03
39,Growthpoint Properties,0.65,3.56,1.06,63.08,1.63,-54.21,Fortress Income,0.63,3.57,Truworths,3.1,1.17,Life Healthcare,1.52,1.0,Redefine Properties,0.51,2.98,Kap Industrial,0.73,0.29,Aspen Pharmacare,1.06,1.94,AngloGold Ashanti,1.79,1.63
40,Royal Bafokeng Platinum,1.76,2.73,1.10,-37.50,0.34,-87.55,Cafca,0.1,0.04,Italtile,2.29,1.71,Mpact,1.1,0.37,Libstar,0.66,0.34,Bell Equipment Ltd.,0.37,0.17,Astral,1.29,0.32,Ninety One,5.48,2.82
41,Ninety One,5.48,2.82,3.80,-30.66,1.12,-60.28,Ninety One,9.42,1.78,PSG Konsult Ltd,3.8,2.52,Avi,5.2,1.8,Curro Hol,0.64,1.12,Hulamin,0.33,0.07,Libstar,0.66,0.34,Dis-Chem Pharmacies,6.19,0.73
42,Distell,2.24,1.9,0.90,-59.82,0.34,-82.11,Hulamin,0.33,0.07,Clicks,11.4,1.64,Aveng Ltd,0.46,0.06,Avi,5.2,1.8,AECI Pref,0.9,0.34,Telkom,0.51,0.42,Astral,1.29,0.32
43,Ninety One,9.42,1.78,1.05,-88.85,0.38,-78.65,Altron,0.75,0.37,Afrimat,2.26,1.75,Metair,0.97,0.38,Adcock Ingram,1.68,1.01,Netcare,2.05,0.97,Bell Equipment Ltd.,0.37,0.17,Kaap Agri Bedryf,1.05,0.18
44,Mr Price,3.03,1.3,2.24,-26.07,1.03,-20.77,Raubex,1.02,0.39,Hulamin,0.33,0.07,Avi,5.2,1.8,Tiger Brands,2.26,1.03,Telkom,0.51,0.42,Distell,2.24,1.9,Clicks,11.4,1.64
45,Santam,0.0,0.0,0.90,0.00,0.34,0.00,RCL Foods,0.9,0.28,Distell,2.24,1.9,Clicks,11.4,1.64,Aveng Ltd,0.46,0.06,Astral,1.29,0.32,AECI Pref,0.9,0.34,Remgro,0.8,1.04
46,Tiger Brands,2.26,1.03,1.02,-54.87,0.32,-68.93,Cashbuild,1.81,0.38,Raubex,1.02,0.39,Hulamin,0.33,0.07,Aveng Ltd,0.46,0.06,RCL Foods,0.9,0.28,Distell,2.24,1.9,Astral,1.29,0.32
47,Foschini Group,1.5,0.63,2.24,49.33,1.06,68.25,Clicks,11.4,1.64,Telkom,0.51,0.42,Suprgrp,0.77,0.2,Gold Fields,1.88,1.85,Tiger Brands,2.26,1.03,MultiChoice,4.9,1.06,Distell,2.24,1.9
48,Life Healthcare,1.52,1.0,1.06,-30.26,1.94,94.00,Redefine Properties,0.51,2.98,SA Corporate Real Estate,0.52,2.71,Fortress Income,0.63,3.57,Pepkor,1.1,0.85,Truworths,3.1,1.17,AngloGold Ashanti,1.79,1.63,Aspen Pharmacare,1.06,1.94
